province,latitude,longitude,fire_cause,fire_type,response_type,protection_zone,fn_indicator,n_fn_20km,any_evacuation,log_fire_size_ha,log_dist_to_fn_km
SK,54.729529,-104.650979,natural,unknown,other,other,False,0,False,1.4929431757998477,-0.4402273579249375
SK,58.964368,-109.956182,natural,unknown,other,other,False,0,False,0.918006609211134,-0.2280342010209624
SK,56.50095,-105.609367,natural,unknown,other,other,False,0,False,-0.8519629227695937,-0.2393877795355851
SK,56.52935,-105.531183,natural,unknown,other,other,False,0,False,-0.1106799383036264,-0.2051813352463902
SK,56.437983,-105.718733,natural,unknown,other,other,False,0,False,-0.3666113202389441,-0.2411211039092302
SK,55.722517,-105.848817,natural,unknown,other,other,False,0,False,0.8485937513092923,-0.0266754133294054
SK,57.188567,-102.703967,natural,unknown,other,other,False,0,False,1.040186899108551,-0.2621175824964459
SK,55.664783,-105.394767,natural,unknown,other,other,False,0,False,0.6493481724225394,-0.2219475325397844
SK,55.645833,-105.610167,natural,unknown,other,other,False,0,False,-0.6810863305946024,-0.1392887912370645
SK,58.614383,-103.211483,natural,unknown,other,other,False,0,False,-0.3606569937629411,-0.2946789044921433
SK,57.8539,-106.348133,natural,unknown,other,other,False,0,False,0.4884511319665195,-0.4686469596155566
SK,55.752129,-106.22122,natural,unknown,other,other,False,0,False,-0.5750047101864859,-0.3780341317402689
SK,55.946867,-104.900417,natural,unknown,other,other,False,0,False,0.3370941173295169,-0.3180562452572967
SK,59.041333,-102.53515,natural,unknown,other,other,False,0,False,-0.0767756478612599,-0.2802811613968888
SK,58.9695,-102.534767,natural,unknown,other,other,False,0,False,-0.3575725141553462,-0.3423402997853056
SK,58.7195,-108.639017,natural,unknown,other,other,False,0,False,-0.7416490093579677,-0.0113847930671992
SK,59.983783,-106.8046,natural,unknown,other,other,False,0,False,1.192680996757468,0.0838515035542447
SK,59.561133,-105.078283,natural,unknown,other,other,False,0,False,1.0859321913808662,-0.4315032498615379
